 31 4
  4
  s    -1.5000     16.1568 kcal
O              0.055230        0.000000       -0.244665
H             -0.915331        0.000000       -0.236169
H              0.258966       -0.000001        1.773304
H             -0.220169        0.000000        2.345878
  4
  s    -1.4000     16.3710 kcal
O              0.055349        0.000000       -0.240360
H             -0.915288        0.000000       -0.237872
H              0.249204       -0.000001        1.732738
H             -0.212348        0.000000        2.319819
  4
  s    -1.3000     16.6193 kcal
O              0.055478        0.000000       -0.236077
H             -0.915199        0.000000       -0.239398
H              0.238883       -0.000001        1.692308
H             -0.204159        0.000000        2.293807
  4
  s    -1.2000     16.9049 kcal
O              0.055613        0.000000       -0.231812
H             -0.915070        0.000000       -0.240782
H              0.228114       -0.000001        1.652062
H             -0.195662        0.000000        2.267737
  4
  s    -1.1000     17.2303 kcal
O              0.055751        0.000000       -0.227557
H             -0.914902        0.000000       -0.242061
H              0.217016       -0.000001        1.612033
H             -0.186929        0.000000        2.241518
  4
  s    -1.0000     17.5978 kcal
O              0.055890        0.000000       -0.223307
H             -0.914697        0.000000       -0.243263
H              0.205714       -0.000001        1.572231
H             -0.178036        0.000000        2.215078
  4
  s    -0.9000     18.0084 kcal
O              0.056027        0.000000       -0.219057
H             -0.914457        0.000000       -0.244420
H              0.194342       -0.000001        1.532643
H             -0.169071        0.000000        2.188372
  4
  s    -0.8000     18.4615 kcal
O              0.056158        0.000000       -0.214802
H             -0.914181        0.000000       -0.245559
H              0.183036       -0.000001        1.493232
H             -0.160124        0.000000        2.161383
  4
  s    -0.7000     18.9546 kcal
O              0.056281        0.000000       -0.210536
H             -0.913870        0.000000       -0.246707
H              0.171932       -0.000001        1.453930
H             -0.151288        0.000000        2.134141
  4
  s    -0.6000     19.4817 kcal
O              0.056394        0.000000       -0.206258
H             -0.913521        0.000000       -0.247893
H              0.161161       -0.000001        1.414632
H             -0.142657        0.000000        2.106727
  4
  s    -0.5000     20.0320 kcal
O              0.056494        0.000000       -0.201966
H             -0.913129        0.000000       -0.249137
H              0.150849        0.000000        1.375186
H             -0.134326        0.000000        2.079295
  4
  s    -0.4000     20.5880 kcal
O              0.056580        0.000000       -0.197660
H             -0.912691        0.000000       -0.250462
H              0.141117        0.000000        1.335369
H             -0.126397        0.000000        2.052106
  4
  s    -0.3000     21.1198 kcal
O              0.056651        0.000000       -0.193347
H             -0.912199        0.000000       -0.251885
H              0.132107        0.000000        1.294852
H             -0.118996        0.000000        2.025588
  4
  s    -0.2000     21.5784 kcal
O              0.056704        0.000000       -0.189039
H             -0.911643        0.000000       -0.253423
H              0.124005        0.000000        1.253138
H             -0.112303        0.000000        2.000478
  4
  s    -0.1000     21.8796 kcal
O              0.056740        0.000000       -0.184778
H             -0.910998        0.000000       -0.255096
